emg_rms,emg_mav,emg_var,mmg_rms,mmg_var,ax_rms,ay_rms,az_rms,label
1564.7,1283.05,18932.87,161.8,1342.94,97.08,80.9,145.62,open_hand
1131.8,928.08,13694.78,65.7,545.31,39.42,32.85,59.13,open_hand
899.8,737.84,10887.58,40.8,338.64,24.48,20.4,36.72,open_hand
977.7,801.71,11830.17,118.4,982.72,71.04,59.2,106.56,open_hand
776.8,636.98,9399.28,68.1,565.23,40.86,34.05,61.29,open_hand
402.8,330.3,4873.88,33.3,276.39,19.98,16.65,29.97,open_hand
950.3,779.25,11498.63,41.0,340.3,24.6,20.5,36.9,open_hand
283.4,232.39,3429.14,41.3,342.79,24.78,20.65,37.17,open_hand
392.1,321.52,4744.41,43.1,357.73,25.86,21.55,38.79,open_hand
409.0,335.38,4948.9,35.5,294.65,21.3,17.75,31.95,open_hand
273.9,224.6,3314.19,44.4,368.52,26.64,22.2,39.96,open_hand
532.0,436.24,6437.2,74.9,621.67,44.94,37.45,67.41,open_hand
257.5,211.15,3115.75,39.8,330.34,23.88,19.9,35.82,open_hand
732.1,600.32,8858.41,154.1,1279.03,92.46,77.05,138.69,open_hand
5267.6,4319.43,63737.96,617.3,5123.59,370.38,308.65,555.57,open_hand
13480.7,11054.17,163116.47,572.0,4747.6,343.2,286.0,514.8,open_hand
12179.4,9987.11,147370.74,657.5,5457.25,394.5,328.75,591.75,open_hand
14789.9,12127.72,178957.79,559.3,4642.19,335.58,279.65,503.37,open_hand
13781.9,11301.16,166760.99,214.1,1777.03,128.46,107.05,192.69,open_hand
14001.6,11481.31,169419.36,535.3,4442.99,321.18,267.65,481.77,open_hand
11965.5,9811.71,144782.55,1053.1,8740.73,631.86,526.55,947.79,open_hand
8197.4,6721.87,99188.54,1686.6,13998.78,1011.96,843.3,1517.94,open_hand
10030.4,8224.93,121367.84,386.3,3206.29,231.78,193.15,347.67,open_hand
10429.5,8552.19,126196.95,860.5,7142.15,516.3,430.25,774.45,open_hand
9404.4,7711.61,113793.24,121.2,1005.96,72.72,60.6,109.08,open_hand
12482.9,10235.98,151043.09,130.4,1082.32,78.24,65.2,117.36,open_hand
11250.6,9225.49,136132.26,78.9,654.87,47.34,39.45,71.01,open_hand
9860.8,8085.86,119315.68,250.3,2077.49,150.18,125.15,225.27,open_hand
10587.5,8681.75,128108.75,357.4,2966.42,214.44,178.7,321.66,open_hand
11684.6,9581.37,141383.66,396.8,3293.44,238.08,198.4,357.12,open_hand
10154.6,8326.77,122870.66,242.3,2011.09,145.38,121.15,218.07,open_hand
10720.2,8790.56,129714.42,460.4,3821.32,276.24,230.2,414.36,open_hand
11141.1,9135.7,134807.31,204.4,1696.52,122.64,102.2,183.96,open_hand
11100.4,9102.33,134314.84,676.4,5614.12,405.84,338.2,608.76,open_hand
12046.8,9878.38,145766.28,2240.1,18592.83,1344.06,1120.05,2016.09,open_hand
12100.9,9922.74,146420.89,380.8,3160.64,228.48,190.4,342.72,open_hand
11769.1,9650.66,142406.11,1748.6,14513.38,1049.16,874.3,1573.74,open_hand
11522.4,9448.37,139421.04,851.2,7064.96,510.72,425.6,766.08,open_hand
11691.6,9587.11,141468.36,246.7,2047.61,148.02,123.35,222.03,open_hand
11685.0,9581.7,141388.5,339.6,2818.68,203.76,169.8,305.64,open_hand
12551.9,10292.56,151877.99,126.0,1045.8,75.6,63.0,113.4,open_hand
12156.3,9968.17,147091.23,1453.4,12063.22,872.04,726.7,1308.06,open_hand
10557.6,8657.23,127746.96,4262.5,35378.75,2557.5,2131.25,3836.25,open_hand
12754.4,10458.61,154328.24,990.0,8217.0,594.0,495.0,891.0,open_hand
11696.4,9591.05,141526.44,612.2,5081.26,367.32,306.1,550.98,open_hand
12419.3,10183.83,150273.53,177.4,1472.42,106.44,88.7,159.66,open_hand
11765.0,9647.3,142356.5,190.5,1581.15,114.3,95.25,171.45,open_hand
12031.1,9865.5,145576.31,3797.3,31517.59,2278.38,1898.65,3417.57,open_hand
11785.7,9664.27,142606.97,968.7,8040.21,581.22,484.35,871.83,open_hand
12992.2,10653.6,157205.62,186.8,1550.44,112.08,93.4,168.12,open_hand
11569.6,9487.07,139992.16,895.0,7428.5,537.0,447.5,805.5,fist
12284.7,10073.45,148644.87,1098.0,9113.4,658.8,549.0,988.2,fist
12177.2,9985.3,147344.12,1049.5,8710.85,629.7,524.75,944.55,fist
11798.0,9674.36,142755.8,191.6,1590.28,114.96,95.8,172.44,fist
13524.5,11090.09,163646.45,1983.3,16461.39,1189.98,991.65,1784.97,fist
11300.7,9266.57,136738.47,3541.1,29391.13,2124.66,1770.55,3186.99,fist
11838.4,9707.49,143244.64,479.2,3977.36,287.52,239.6,431.28,fist
10552.2,8652.8,127681.62,175.6,1457.48,105.36,87.8,158.04,fist
12713.5,10425.07,153833.35,241.2,2001.96,144.72,120.6,217.08,fist
12946.1,10615.8,156647.81,1028.6,8537.38,617.16,514.3,925.74,fist
13725.5,11254.91,166078.55,946.7,7857.61,568.02,473.35,852.03,fist
